,REC_CREATE_TIME,REC_CREATOR,REC_REVISE_TIME,REC_REVISOR,ARCHIVE_FLAG,WORKSHEET_NO,WHOLE_BACKLOG_CODE,UNIT_CODE,SG_SIGN,SG_STD,LACK_WT,OUT_THICK,OUT_WIDTH,EPST,NEST,BEGIN_TIME,FINISH_TIME,NLST,LPST,ORDER_NO,STATUS
1,,,,,,G16A721B05-1,IA,Z101,VW4227-Hay5,XCJS-709-2015-02,100.000000,90.000,0.000,20161026005630,20161026005830,20161026000000,20161026005118,20161107024310,20161125173249,G16A721B05,21
2,,,,,,G16A721B05-2,IA,Z101,VW4227-Hay5,XCJS-709-2015-02,100.000000,90.000,0.000,20161026005630,20161026005830,20161026005118,20161026014237,20161107054859,20161125173249,G16A721B05,21
3,,,,,,G16A721B05-3,IA,Z101,VW4227-Hay5,XCJS-709-2015-02,100.000000,90.000,0.000,20161026005630,20161026005830,20161026014237,20161026023355,20161107041604,20161125173249,G16A721B05,21
4,,,,,,G16A721B05-4,IA,Z101,VW4227-Hay5,XCJS-709-2015-02,100.000000,90.000,0.000,20161026005630,20161026005830,20161026023355,20161026032514,20161106233722,20161125173249,G16A721B05,21
5,,,,,,G16A914A02-1,IA,Z101,20CrMoH,JX484-2010-05,18.000000,90.000,0.000,20161026000000,20161026000000,20161026032514,20161026033428,20161026003529,20161125234905,G16A914A02,12
6,,,,,,G16A808A01-1,IA,Z101,TL1438,JX1466-2013-03,20.000000,88.000,0.000,20161026001118,20161026005830,20161026033428,20161026034444,20161026083151,20161125225833,G16A808A01,21
7,,,,,,G16A820A09-1,IA,Z101,12Cr1MoV,JX1304-2011-01,1.704000,90.000,0.000,20161026000057,20161026005830,20161026034444,20161026034536,20161026044101,20161125235858,G16A820A09,21
8,,,,,,G16A820A10-1,IA,Z101,12Cr1MoV,JX1304-2011-01,1.842000,90.000,0.000,20161026000102,20161026005830,20161026034536,20161026034633,20161026044159,20161125235853,G16A820A10,21
9,,,,,,G16A820A11-1,IA,Z101,12Cr1MoV,JX1304-2011-01,2.856000,90.000,0.000,20161026000136,20161026005830,20161026034633,20161026034801,20161026044355,20161125235816,G16A820A11,21
10,,,,,,G16A820A12-1,IA,Z101,12Cr1MoV,JX1304-2011-01,2.218000,90.000,0.000,20161026000115,20161026005830,20161026034801,20161026034909,20161026044254,20161125235839,G16A820A12,21
11,,,,,,G16A820A13-1,IA,Z101,12Cr1MoV,JX1304-2011-01,1.640000,90.000,0.000,20161026000055,20161026005830,20161026034909,20161026035000,20161026043902,20161125235900,G16A820A13,21
12,,,,,,G16A535C01-1,IA,Z101,SAE1538MV,JX1265-2014-02,100.000000,88.000,0.000,20161026005630,20161026005830,20161026035000,20161026044118,20161030171159,20161125185249,G16A535C01,21
13,,,,,,G16A535C01-2,IA,Z101,SAE1538MV,JX1265-2014-02,100.000000,88.000,0.000,20161026005630,20161026005830,20161026044118,20161026053237,20161030153905,20161125185249,G16A535C01,21
14,,,,,,G16A535C01-3,IA,Z101,SAE1538MV,JX1265-2014-02,100.000000,88.000,0.000,20161026005630,20161026005830,20161026053237,20161026062356,20161030031350,20161125185249,G16A535C01,21
15,,,,,,G16A535C01-4,IA,Z101,SAE1538MV,JX1265-2014-02,100.000000,88.000,0.000,20161026005630,20161026005830,20161026062356,20161026071514,20161030014056,20161125185249,G16A535C01,21
16,,,,,,G16A535C01-5,IA,Z101,SAE1538MV,JX1265-2014-02,18.330000,88.000,0.000,20161026001021,20161026005830,20161026071514,20161026072439,20161026065711,20161125230341,G16A535C01,21
17,,,,,,G16A535C01-6,IA,Z101,SAE1538MV,JX1265-2014-02,81.670000,88.000,0.000,20161026000000,20161026000000,20161026072439,20161026080633,20161027050302,20161125194907,G16A535C01,12
18,,,,,,G16A602H01-1,IA,Z101,100Cr6,S130000,30.000000,90.000,0.000,20161026001657,20161027005830,20161026080633,20161026082156,20161107234300,20161125220350,G16A602H01,21
19,,,,,,G16A940A01-1,IA,Z101,100CrMnSi6-4,S130024+FPL1.203,8.000000,90.000,0.000,20161026000431,20161027005830,20161026082633,20161026083040,20161107124248,20161125232901,G16A940A01,21
20,,,,,,G16A978A02-1,IA,Z101,100Cr6,S130000-2013,20.000000,90.000,0.000,20161026001118,20161027005830,20161026083040,20161026084056,20161107204227,20161125224924,G16A978A02,21
21,,,,,,G16A564A01-1,IA,Z101,SKF3,XCJS-340-2009-01,20.000000,90.000,0.000,20161026001118,20161027005830,20161026093214,20161026094230,20161107181103,20161125224233,G16A564A01,21
22,,,,,,G16A496A02-1,IA,Z101,MS3007-2,JX1799-2013-01,9.987000,90.000,0.000,20161026000538,20161026005830,20161026094230,20161026094737,20161026035520,20161125232756,G16A496A02,21
23,,,,,,G16A496A02-2,IA,Z101,MS3007-2,JX1799-2013-01,100.000000,90.000,0.000,20161026000000,20161026000000,20161026094737,20161026103856,20161028014304,20161125183903,G16A496A02,12
24,,,,,,G16A496A02-3,IA,Z101,MS3007-2,JX1799-2013-01,100.000000,90.000,0.000,20161026000000,20161026000000,20161026103856,20161026113015,20161028021626,20161125183903,G16A496A02,12
25,,,,,,G16A496A02-4,IA,Z101,MS3007-2,JX1799-2013-01,60.013000,90.000,0.000,20161026000000,20161026000000,20161026113015,20161026120102,20161026183132,20161125204723,G16A496A02,12
26,,,,,,G16A598C01-1,IA,Z101,100CrMnSi6-4,S130024+FPL1.203,30.000000,90.000,0.000,20161026001657,20161027005830,20161026125221,20161026130744,20161108035351,20161125220350,G16A598C01,21
27,,,,,,G16A600A04-1,IA,Z101,GCr15,JX393-2016-04,50.000000,90.000,0.000,20161026002815,20161027005830,20161026130744,20161026133324,20161027092019,20161125232941,G16A600A04,21
28,,,,,,GW64096A04-1,IA,Z101,100Cr6,S130000,50.000000,90.000,0.000,20161026002815,20161027005830,20161026133324,20161026135903,20161109005858,20161125204624,GW64096A04,21
29,,,,,,GW63831A09-1,IA,Z101,100Cr6,S130000,30.000000,90.000,0.000,20161026001657,20161027005830,20161026135903,20161026141427,20161108025806,20161125220350,GW63831A09,21
30,,,,,,GW63831B02-1,IA,Z101,100CrMnSi6-4,S130024+FPL1.203,10.000000,90.000,0.000,20161026000539,20161027005830,20161026141427,20161026141934,20161107135224,20161125232116,GW63831B02,21
31,,,,,,GW63942A07-1,IA,Z101,100Cr6,S130000,20.000000,90.000,0.000,20161026001118,20161027005830,20161026141934,20161026142950,20161107200518,20161125224233,GW63942A07,21
32,,,,,,GW63942B01-1,IA,Z101,100CrMnSi6-4,S130024+FPL1.203,10.000000,90.000,0.000,20161026000539,20161027005830,20161026142950,20161026143458,20161107131514,20161125232116,GW63942B01,21
33,,,,,,G16A551A02-1,IA,Z101,TL1438,JX1466-2013-03,94.300000,90.000,0.000,20161026005317,20161026005830,20161026143458,20161026152321,20161028193147,20161125191019,G16A551A02,21
34,,,,,,G16A556E02-1,IA,Z101,SAE8620H(S),JX129-2001-01,20.000000,90.000,0.000,20161026001118,20161026005830,20161026152321,20161026153337,20161026052914,20161125234752,G16A556E02,21
35,,,,,,G16A570D05-1,IA,Z101,20CrMoH,JX484-2010-05,35.000000,90.000,0.000,20161026001946,20161026005830,20161026153337,20161026155134,20161026081433,20161125233847,G16A570D05,21
36,,,,,,G16A534A02-1,IA,Z101,SAE8620H(S),JX129-2001-01,80.000000,90.000,0.000,20161026004512,20161026005830,20161026155134,20161026163237,20161026134600,20161125231130,G16A534A02,21
37,,,,,,GW64101A08-1,IA,Z101,SCM420H,XCJS-043-2002,5.130000,90.000,0.000,20161026000253,20161026005830,20161026163237,20161026163515,20161026044646,20161125235653,GW64101A08,21
38,,,,,,GW64152B01-1,IA,Z101,8620,XCJS-820-2016-01,100.000000,88.900,0.000,20161026005630,20161026005830,20161026163515,20161026172634,20161102193618,20161125182049,GW64152B01,21
39,,,,,,GW64152B02-1,IA,Z101,8620,XCJS-820-2016-01,100.000000,88.900,0.000,20161026005630,20161026005830,20161026172634,20161026181752,20161102132442,20161125182049,GW64152B02,21
40,,,,,,GW64152B03-1,IA,Z101,8620,XCJS-820-2016-01,100.000000,88.900,0.000,20161026005630,20161026005830,20161026181752,20161026190911,20161102115147,20161125182049,GW64152B03,21
41,,,,,,GW64152B04-1,IA,Z101,8620,XCJS-820-2016-01,100.000000,88.900,0.000,20161026005630,20161026005830,20161026190911,20161026200030,20161102101853,20161125182049,GW64152B04,21
42,,,,,,GW64152B05-1,IA,Z101,8620,XCJS-820-2016-01,100.000000,88.900,0.000,20161026005630,20161026005830,20161026200030,20161026205148,20161101183605,20161125182049,GW64152B05,21
