NO,REC_CREATE_TIME,REC_CREATOR,REC_REVISE_TIME,REC_REVISOR,ARCHIVE_FLAG,WORKSHEET_NO,WHOLE_BACKLOG_CODE,UNIT_CODE,SG_SIGN,SG_STD,LACK_WT,OUT_THICK,OUT_WIDTH,BEGIN_TIME,FINISH_TIME,最早开始时间,最晚开始时间,ORDER_NO,STATUS
447,,,,,,G16A653A05-1,IA,Z101,23MnNiMoCr54,JX490-2011-06,60,140,140,20161026003354,20161026010441,20161026003354,20161029092050,G16A653A05,1
449,,,,,,G16A653A06-1,IA,Z101,23MnNiMoCr54,JX490-2011-06,80,140,140,20161026010441,20161026014543,20161026004512,20161029102343,G16A653A06,1
451,,,,,,G16A653A07-1,IA,Z101,23MnNiMoCr54,JX490-2011-06,40,140,140,20161026014543,20161026020614,20161026002236,20161029123946,G16A653A07,1
452,,,,,,G16A653D01-1,IA,Z101,023,JX679-2014-03,80,140,140,20161026020614,20161026024716,20161026004512,20161125160130,G16A653D01,1
455,,,,,,G16A888D01-1,IA,Z101,SCM420H,JX173-2004-02,20,140,140,20161026024716,20161026025731,20161026001118,20161125232459,G16A888D01,1
456,,,,,,G16A957A01-1,IA,Z101,16MnCrS5,JX579-2013-01,30,140,140,20161026025731,20161026031254,20161026001657,20161027211113,G16A957A01,1
457,,,,,,G16A975C01-1,IA,Z101,ZF6,XCJS-299-2008-01,100,140,140,20161026031254,20161026040412,20161026005630,20161030090538,G16A975C01,1
459,,,,,,G16A975C01-2,IA,Z101,ZF6,XCJS-299-2008-01,100,140,140,20161026040412,20161026045530,20161026005630,20161030130538,G16A975C01,1
461,,,,,,G16A579C01-1,IA,Z101,ZWZ G7,JX2113-2015-02,9.79,140,140,20161026045530,20161026050031,20161026000531,20161125231408,G16A579C01,1
462,,,,,,G16A579C02-1,IA,Z101,ZWZ G7,JX2113-2015-02,7.486,140,140,20161026050031,20161026050421,20161026000413,20161125232455,G16A579C02,1
463,,,,,,G16A773A01-1,IA,Z101,SKF3,SKF D33-1 B10001,80,140,140,20161026050421,20161026054523,20161026004512,20161027153317,G16A773A01,1
465,,,,,,G16A958B01-1,IA,Z101,SKF3,SKF D33-1 B10001,33.352,140,140,20161026054523,20161026060229,20161026001850,20161028014114,G16A958B01,1
467,,,,,,G16A561A01-1,IA,Z101,SKF3,SKF D33-1 B10001,30,140,140,20161026060229,20161026061752,20161026001657,20161113150840,G16A561A01,1
468,,,,,,G16A561A02-1,IA,Z101,SKF3,SKF D33-1 B10001,50,140,140,20161026061752,20161026064331,20161026002815,20161113151843,G16A561A02,1
471,,,,,,G16A561A03-1,IA,Z101,SKF3,SKF D33-1 B10001,7,140,140,20161026064331,20161026064706,20161026000357,20161113172659,G16A561A03,1
472,,,,,,G16A561A04-1,IA,Z101,SKF3,SKF D33-1 B10001,10,140,140,20161026064706,20161026065213,20161026000539,20161113173146,G16A561A04,1
473,,,,,,G16A564C01-1,IA,Z101,SKF3,SKF D33-1 B10001,20,140,140,20161026065213,20161026070228,20161026001118,20161113173551,G16A564C01,1
474,,,,,,L161223A01-1,IA,Z101,SUJ2,JX364-2005-01,10,140,140,20161026070228,20161026070735,20161026000539,20161105133930,L161223A01,1
475,,,,,,GW64062A01-1,IA,Z101,100Cr6,LA140101R,60,140,140,20161026070735,20161026073822,20161026003354,20161105041346,GW64062A01,1
477,,,,,,GW64072A01-1,IA,Z101,100Cr6,LA140101R,80,140,140,20161026073822,20161026081924,20161026004512,20161105050306,GW64072A01,1
480,,,,,,GW64072A06-1,IA,Z101,100Cr6,LA140101R,50,140,140,20161026081924,20161026084503,20161026002815,20161105073139,GW64072A06,1
482,,,,,,L161272A02-1,IA,Z101,SUJ2S1,JX311-2009-04,30,140,140,20161026084503,20161026090026,20161026001657,20161102230427,L161272A02,1
484,,,,,,L161272A03-1,IA,Z101,SUJ2S1,JX311-2009-04,95,140,140,20161026090026,20161026094910,20161026005340,20161102213402,L161272A03,1
485,,,,,,L161272A04-1,IA,Z101,SUJ2S1,JX311-2009-04,40,140,140,20161026094910,20161026100941,20161026002236,20161103012808,L161272A04,1
487,,,,,,L161284B01-1,IA,Z101,SUJ2S1,EJX559-2013-01,50,140,140,20161026100941,20161026103520,20161026002815,20161104232034,L161284B01,1
489,,,,,,L161284C01-1,IA,Z101,SUJ2S1,JX311-2009-04,10,140,140,20161026103520,20161026104027,20161026000539,20161102063606,L161284C01,1
490,,,,,,LW64001A01-1,IA,Z101,SUJ2S1,EJX559-2013-01,40,140,140,20161026104027,20161026110058,20161026002236,20161105021855,LW64001A01,1
491,,,,,,LW64052A02-1,IA,Z101,SUJ2,JX364-2005-01,20,140,140,20161026110058,20161026111113,20161026001118,20161105040152,LW64052A02,1
493,,,,,,LW64052A03-1,IA,Z101,SUJ2,JX364-2005-01,40,140,140,20161026111113,20161026113144,20161026002236,20161105035850,LW64052A03,1
494,,,,,,LW64052A05-1,IA,Z101,SUJ2,JX364-2005-01,100,140,140,20161026113144,20161026122302,20161026005630,20161105032333,LW64052A05,1
496,,,,,,LW64052A07-1,IA,Z101,SUJ2,JX364-2005-01,15,140,140,20161026122302,20161026123043,20161026000828,20161105083100,LW64052A07,1
497,,,,,,L161223A05-1,IA,Z101,SUJ2,JX364-2005-01,6,140,140,20161026123043,20161026123347,20161026000323,20161105150117,L161223A05,1
498,,,,,,L161245A01-1,IA,Z101,SUJ2S1,JX311-2009-04,7,140,140,20161026123347,20161026123722,20161026000357,20161101214331,L161245A01,1
499,,,,,,L161256A01-1,IA,Z101,SUJ2S1,JX311-2009-04,20,140,140,20161026123722,20161026124737,20161026001118,20161031221450,L161256A01,1
500,,,,,,L161256A02-1,IA,Z101,SUJ2S1,JX311-2009-04,30,140,140,20161026124737,20161026130300,20161026001657,20161031222104,L161256A02,1
502,,,,,,L161257B01-1,IA,Z101,SUJ2S1,JX311-2009-04,79.002,140,140,20161026130300,20161026134332,20161026004438,20161101024950,L161257B01,1
504,,,,,,L161257C01-1,IA,Z101,SUJ2S1,JX985-2009-01,0.898,140,140,20161026134332,20161026134359,20161026000030,20161105091045,L161257C01,1
505,,,,,,L161258A02-1,IA,Z101,SUJ2S1,JX311-2009-04,50,140,140,20161026134359,20161026140938,20161026002815,20161102123719,L161258A02,1
506,,,,,,L161258A03-1,IA,Z101,SUJ2S1,JX311-2009-04,10,140,140,20161026140938,20161026141445,20161026000539,20161102150235,L161258A03,1
507,,,,,,L161258A04-1,IA,Z101,SUJ2S1,JX311-2009-04,50,140,140,20161026141445,20161026144024,20161026002815,20161102135552,L161258A04,1
